department,classification,cited_name,nationality,gender,number of pieces,web link,photo link
Contemporary Art,prints,Guerrilla Girls,America,Female,89,https://en.wikipedia.org/wiki/Guerrilla_Girls,http://www.tate.org.uk/art/images/work/P/P78/P78793_10.jpg
Contemporary Art,prints,"Frink, Elisabeth",Britain,Female,31,https://en.wikipedia.org/wiki/Elisabeth_Frink,http://www.osbornesamuel.com/wp-content/uploads/2017/05/FS_24328.jpg
Contemporary Art,prints,Matsubara Naoko,Japan,Female,27,https://en.wikipedia.org/wiki/Matsubara_Naoko,https://media.mutualart.com/Images/2018_02/06/06/061614871/bee9b153-7cce-4035-b478-8ae4d6ccae1e_570.Jpeg
Contemporary Art,prints,"Walker, Kara",America,Female,26,https://en.wikipedia.org/wiki/Kara_Walker,https://www.moma.org/media/W1siZiIsIjIwMzA4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=3816a81250befcce
Contemporary Art,drawings and watercolors,"Clayton, Lenka",Britain,Female,16,https://en.wikipedia.org/wiki/Lenka_Clayton,https://i.pinimg.com/originals/f7/c0/ef/f7c0effd0464b282764490e83609220d.jpg
Contemporary Art,collages,"Whiteread, Rachel",Britain,Female,14,https://en.wikipedia.org/wiki/Rachel_Whiteread,https://i.pinimg.com/736x/fb/38/39/fb38397ed341331105601a6d1841e644--correction-fluid-dog-leg.jpg
Contemporary Art,prints,"Quastler, Gertrude",America,Female,10,https://en.wikipedia.org/wiki/Gertrude_Quastler,https://image.invaluable.com/housePhotos/Dargate/41/278741/H0089-L14016994.jpg
Contemporary Art,prints,"Brunskill, Anna",Britain,Female,9,http://www.retrosixty.co.uk/Ann_Brunskill,https://www.brightcolors.com/brightcolorsweb/wp-content/uploads/imported/7/Ann-Brunskill-PARADISE-LOST-V-Original-Signed-Art-380442175027.jpg
Contemporary Art,prints,"Fedden, Mary",Britain,Female,9,https://en.wikipedia.org/wiki/Mary_Fedden,http://www.thompsonsgallery.co.uk/artists-images/mary-fedden-butterfly-&-lamp-watercolour-7-x-8-4-500.jpg
Contemporary Art,paintings,"Rosenberg, Samuel",America,Male,385,https://en.wikipedia.org/wiki/Samuel_Rosenberg_(artist),http://media.liveauctiongroup.net/i/8562/9879301_1.jpg?v=8CD2E1BD5816650
Contemporary Art,prints,"Alechinsky, Pierre",Belgium,Male,99,https://en.wikipedia.org/wiki/Pierre_Alechinsky,https://uploads6.wikiart.org/images/pierre-alechinsky/taste-of-the-abyss.jpg
Contemporary Art,prints,"Lackovic-Croata, Ivan",Croatia,Male,99,https://en.wikipedia.org/wiki/Ivan_Lackovi%C4%87_Croata,https://s-media-cache-ak0.pinimg.com/originals/ad/4b/d0/ad4bd09dfb7146253bcf6a807974ce41.jpg
Contemporary Art,prints,"Spruance, Benton M.",America,Male,71,http://bentonspruance.com/,http://sacredartpilgrim.com/cache/71b1b0fe68b9542d8ea61d8e7bccacde_w600.jpg
Contemporary Art,prints,"House, Gordon",Britain,Male,51,https://www.independent.co.uk/news/obituaries/gordon-house-38257.html,http://media.findartinfo.com/images/artwork/2010/8/a002233490-001.jpg
Contemporary Art,prints,"King, Ronald",Britain,Male,41,https://www.ronkingstudio.com/pages/profile,http://www.northhousegallery.co.uk/images/artists/BurningBooks.jpg
Contemporary Art,paintings,"Förg, Günther",Germany,Male,37,https://en.wikipedia.org/wiki/G%C3%BCnther_F%C3%B6rg,https://uploads5.wikiart.org/images/gunther-forg/untitled-2007.jpg
Contemporary Art,prints,Saitô Kiyoshi,Japan,Male,33,https://en.wikipedia.org/wiki/Kiyoshi_Sait%C5%8D,https://skinnerinc-res.cloudinary.com/images//v1480153084/1137596/kiyoshi-saito-1907-1997-buddha-a.jpg
Contemporary Art,prints,"LeWitt, Sol",America,Male,32,https://en.wikipedia.org/wiki/Sol_LeWitt,https://sites.stedwards.edu/educationportfolios-jfoster4/files/2015/03/lewitt-880_002-2-16d1fzo.jpg
Contemporary Art,paintings,"Jorn, Asger",Denmark,Male,30,https://en.wikipedia.org/wiki/Asger_Jorn,http://www.tate.org.uk/art/images/work/T/T03/T03864_10.jpg
