department,classification,cited_name,nationality,gender,number of pieces
Contemporary Art,collages,"Colarusso, Jim",America,Male,1
Contemporary Art,collages,"Evan, Grete H.",America,Female,1
Contemporary Art,collages,"Fleischmann, Adolf",Germany,Male,1
Contemporary Art,collages,"Gentilcore, Roland",America,Male,1
Contemporary Art,collages,"Giegerich, Jill",America,Female,1
Contemporary Art,collages,"Goldstein, Daniel J.",America,Male,1
Contemporary Art,collages,"Golomb, Anne T.",America,Female,1
Contemporary Art,collages,"Kalstone, Elsie",America,Female,2
Contemporary Art,collages,"Katzen, Lila",America,Female,1
Contemporary Art,collages,"Kremen, Irwin",America,Male,1
Contemporary Art,collages,"Lardera, Berto",France,Male,2
Contemporary Art,collages,"Le Va, Barry",America,Male,1
Contemporary Art,collages,"Loewe, Michael",America,Male,2
Contemporary Art,collages,"Marin, Laura",America,Female,1
Contemporary Art,collages,"Massey, Jack",America,Male,3
Contemporary Art,collages,"Morris, Elaine",America,Female,2
Contemporary Art,collages,"Nickle, Robert",America,Male,1
Contemporary Art,collages,"Paluzzi, Rinaldo",America,Male,2
Contemporary Art,collages,"Paolozzi, Eduardo L.",Scotland,Male,3
Contemporary Art,collages,"Rockburne, Dorothea",America,Female,2
Contemporary Art,collages,"Schwitters, Kurt",Germany,Male,1
Contemporary Art,collages,"Shaw, Charles G.",America,Male,2
Contemporary Art,collages,"Shiras, Myrna",America,Female,1
Contemporary Art,collages,"Sietsema, Paul",America,Male,1
Contemporary Art,collages,"Whiteread, Rachel",Britain,Female,14
Contemporary Art,collages,"Zelt, Martha",America,Female,1
Contemporary Art,collages,"Zets, Mark",America,Male,1
Contemporary Art,drawings and watercolors,"Ackermann, Franz",Germany,Male,12
Contemporary Art,drawings and watercolors,"Anliker, Roger",America,Male,1
Contemporary Art,drawings and watercolors,Anselmo,Italy,Male,2
Contemporary Art,drawings and watercolors,"Anselmo, Giovanni",Italy,Male,1
Contemporary Art,drawings and watercolors,"Antes, Horst",Germany,Male,2
Contemporary Art,drawings and watercolors,"Anthony, Carol",America,Female,1
Contemporary Art,drawings and watercolors,"Arita, Akira",Japan,Male,1
Contemporary Art,drawings and watercolors,"Armitage, Kenneth",Britain,Male,1
Contemporary Art,drawings and watercolors,"Armstrong, David",America,Male,1
Contemporary Art,drawings and watercolors,"Asher, Dan",America,Male,1
Contemporary Art,drawings and watercolors,"Avniel, Mordechai",Israel,Male,1
Contemporary Art,drawings and watercolors,"Barker, Walter W.",America,Male,2
Contemporary Art,drawings and watercolors,"Baskin, Leonard",America,Male,1
Contemporary Art,drawings and watercolors,"Battke, Heinz",Germany,Male,1
Contemporary Art,drawings and watercolors,"Bechtle, C. Ronald",America,Male,1
Contemporary Art,drawings and watercolors,"Beck, Kim",America,Female,1
Contemporary Art,drawings and watercolors,"Beckman, William",America,Male,1
Contemporary Art,drawings and watercolors,"Bendiner, Alfred",America,Male,15
Contemporary Art,drawings and watercolors,"Bernstein, Judith",America,Female,1
Contemporary Art,drawings and watercolors,"Bleckner, Ross",America,Male,2
Contemporary Art,drawings and watercolors,"Blumenfeld, Rochelle Reznik",America,Female,1
Contemporary Art,drawings and watercolors,"Bochner, Mel",America,Male,10
Contemporary Art,drawings and watercolors,"Borda, Juliette",America,Female,1
Contemporary Art,drawings and watercolors,"Borduas, Paul Emile",Canada,Male,1
Contemporary Art,drawings and watercolors,"Bowden, Robert L.",America,Male,2
Contemporary Art,drawings and watercolors,"Brands, Eugène ",Netherlands,Male,2
Contemporary Art,drawings and watercolors,"Brooks, James",America,Male,4
Contemporary Art,drawings and watercolors,"Buckley, Stephen",Britain,Male,1
Contemporary Art,drawings and watercolors,"Burri, Alberto",Italy,Male,2
Contemporary Art,drawings and watercolors,"Byars, James L.",America,Male,2
Contemporary Art,drawings and watercolors,"Cadmus, Paul",America,Male,5
Contemporary Art,drawings and watercolors,"Chadwick, Lynn R.",Britain,Male,12
Contemporary Art,drawings and watercolors,"Chagoya, Enrique",Mexico,Male,1
Contemporary Art,drawings and watercolors,"Clark, Michael",America,Male,1
Contemporary Art,drawings and watercolors,"Clayton, Lenka",Britain,Female,16
Contemporary Art,drawings and watercolors,"Nieuwenhuys, Constant",Netherlands,Male,11
Contemporary Art,drawings and watercolors,"Cooper, Douglas",America,Male,4
Contemporary Art,drawings and watercolors,"Crumb, Robert",America,Male,2
Contemporary Art,drawings and watercolors,Dado,Montenegro,Male,2
Contemporary Art,drawings and watercolors,"Dalla Piccola Wood, Teresa",America,Female,1
Contemporary Art,drawings and watercolors,"de Credico, Alfred",America,Male,1
Contemporary Art,drawings and watercolors,"De Kooning, Willem",America,Male,3
Contemporary Art,drawings and watercolors,"Defazio, Raymond",America,Male,1
Contemporary Art,drawings and watercolors,"Delaunay, Sonia",France,Female,2
Contemporary Art,drawings and watercolors,"Denney, Jim",America,Male,1
Contemporary Art,drawings and watercolors,"Derryberry, Virginia",America,Female,1
Contemporary Art,drawings and watercolors,"Dewasne, Jean",France,Male,4
Contemporary Art,drawings and watercolors,"Diebenkorn, Richard",America,Male,6
Contemporary Art,drawings and watercolors,"Dogançay, Burhan C.",America,Male,1
Contemporary Art,drawings and watercolors,"Dombek, George",America,Male,2
Contemporary Art,drawings and watercolors,"Donnelly, Trisha",America,Female,2
Contemporary Art,drawings and watercolors,"Dotremont, Christian",Belgium,Male,2
Contemporary Art,drawings and watercolors,"Dumas, Marlene",South Africa,Female,5
Contemporary Art,drawings and watercolors,"Eberle, Edward S.",America,Male,1
Contemporary Art,drawings and watercolors,"Falk, Hans A.",Switzerland,Male,1
Contemporary Art,drawings and watercolors,"Farreras, Francisco",Spain,Male,1
Contemporary Art,drawings and watercolors,"Ferrara, Jackie",America,Female,2
Contemporary Art,drawings and watercolors,"Fett, William",America,Male,1
Contemporary Art,drawings and watercolors,"Formicola, John",America,Male,1
Contemporary Art,drawings and watercolors,"Francis, Sam",America,Male,4
Contemporary Art,drawings and watercolors,"Franck, Frederick S.",America,Male,1
Contemporary Art,drawings and watercolors,"Garver, Wilhelmina J.",Netherlands,Female,1
Contemporary Art,drawings and watercolors,"Gaul, Winfred",Germany,Male,1
Contemporary Art,drawings and watercolors,"George, Thomas",America,Male,1
Contemporary Art,drawings and watercolors,"Goto, Joseph",America,Male,2
Contemporary Art,drawings and watercolors,"Graham, John D.",America,Male,1
Contemporary Art,drawings and watercolors,"Green, Robert B.",America,Male,2
Contemporary Art,drawings and watercolors,"Gropper, William",America,Male,1
Contemporary Art,drawings and watercolors,"Guzmán, Daniel",Mexico,Male,1
Contemporary Art,drawings and watercolors,"Haerizadeh, Rokni",Iran,Male,8
Contemporary Art,drawings and watercolors,"Hale, Stephen",America,Male,1
Contemporary Art,drawings and watercolors,"Hall, Susan",America,Female,1
Contemporary Art,drawings and watercolors,"Halley, Peter",America,Male,2
